file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
291.txt	99.20	98.94	99.47	98.90	97.83	100.00	1307	14	7	45	1	0
292.txt	92.94	98.09	88.30	51.28	83.33	37.04	566	11	75	10	2	17
293.txt	77.19	63.06	99.48	64.86	48.98	96.00	770	451	4	24	25	1
294.txt	99.29	100.00	98.59	97.44	100.00	95.00	700	0	10	19	0	1
295.txt	90.90	97.00	85.52	80.00	92.54	70.45	2392	74	405	62	5	26
296.txt	91.43	99.86	84.31	88.24	100.00	78.95	1435	2	267	45	0	12
297.txt	75.17	100.00	60.22	37.50	100.00	23.08	377	0	249	9	0	30
298.txt	97.67	96.08	99.31	94.92	93.33	96.55	1446	59	10	28	2	1
299.txt	97.85	99.58	96.19	96.20	100.00	92.68	1665	7	66	38	0	3
300.txt	96.62	95.54	97.72	87.50	87.50	87.50	729	34	17	21	3	3
301.txt	84.80	85.47	84.14	59.26	80.00	47.06	865	147	163	16	4	18
302.txt	78.66	68.61	92.16	50.00	50.00	50.00	94	43	8	1	1	1
303.txt	96.15	99.18	93.30	88.89	100.00	80.00	724	6	52	12	0	3
304.txt	85.23	97.99	75.41	75.39	100.00	60.50	3174	65	1035	144	0	94
305.txt	82.64	99.53	70.65	78.71	100.00	64.89	1052	5	437	61	0	33
306.txt	92.40	98.16	87.28	70.54	74.53	66.95	2669	50	389	79	27	39
307.txt	54.20	37.58	97.22	63.83	48.39	93.75	664	1103	19	15	16	1
308.txt	66.09	49.58	99.10	37.50	25.42	71.43	1983	2017	18	15	44	6
309.txt	78.22	73.80	83.20	61.95	71.43	54.69	2397	851	484	35	14	29
310.txt	95.60	92.09	99.39	75.00	75.00	75.00	163	14	1	3	1	1
311.txt	98.96	99.84	98.10	88.50	100.00	79.37	3823	6	74	50	0	13
312.txt	93.99	98.78	89.64	76.92	95.24	64.52	1056	13	122	20	1	11
313.txt	98.55	97.67	99.45	52.17	85.71	37.50	1805	43	10	6	1	10
314.txt	97.59	99.61	95.66	92.56	100.00	86.15	2027	8	92	56	0	9
315.txt	98.29	100.00	96.63	92.31	100.00	85.71	832	0	29	24	0	4
316.txt	99.00	99.91	98.11	85.71	100.00	75.00	3315	3	64	36	0	12
317.txt	97.51	96.65	98.38	98.70	100.00	97.44	1096	38	18	38	0	1
318.txt	97.53	97.18	97.89	96.97	100.00	94.12	1067	31	23	32	0	2
319.txt	67.05	94.31	52.01	38.89	55.96	29.80	2969	179	2739	183	144	431
320.txt	97.97	99.57	96.42	87.72	100.00	78.12	5116	22	190	100	0	28
321.txt	99.73	100.00	99.47	93.75	100.00	88.24	934	0	5	15	0	2
322.txt	50.58	89.59	35.24	29.63	100.00	17.39	499	58	917	12	0	57
323.txt	97.42	100.00	94.97	52.17	100.00	35.29	453	0	24	6	0	11
324.txt	95.02	93.74	96.34	58.29	47.54	75.32	4135	276	157	58	64	19
325.txt	77.33	93.07	66.14	51.25	45.56	58.57	2483	185	1271	41	49	29
326.txt	99.83	99.89	99.77	100.00	100.00	100.00	875	1	2	18	0	0
327.txt	97.68	100.00	95.47	40.00	100.00	25.00	400	0	19	1	0	3
328.txt	98.65	100.00	97.33	96.97	100.00	94.12	1532	0	42	48	0	3
329.txt	66.67	100.00	50.00	0.00	0.00	0.00	1	0	1	0	0	0
330.txt	93.10	99.73	87.29	67.57	100.00	51.02	2954	8	430	75	0	72
331.txt	92.18	98.02	86.99	78.72	94.87	67.27	990	20	148	37	2	18
332.txt	99.38	100.00	98.77	86.67	100.00	76.47	1447	0	18	13	0	4
333.txt	86.02	76.57	98.14	73.68	70.00	77.78	317	97	6	7	3	2
334.txt	87.56	98.70	78.68	59.12	94.00	43.12	1819	24	493	47	3	62
335.txt	99.88	100.00	99.76	100.00	100.00	100.00	829	0	2	9	0	0
336.txt	50.36	100.00	33.65	50.98	100.00	34.21	176	0	347	13	0	25
337.txt	85.66	90.85	81.03	65.67	88.00	52.38	645	65	151	22	3	20
338.txt	94.73	96.61	92.91	92.86	100.00	86.67	485	17	37	13	0	2
339.txt	99.17	100.00	98.36	90.91	100.00	83.33	961	0	16	10	0	2
340.txt	99.23	99.65	98.80	88.89	100.00	80.00	577	2	7	4	0	1
341.txt	97.95	97.38	98.53	96.55	100.00	93.33	6288	169	94	28	0	2
342.txt	90.58	98.13	84.11	71.70	98.28	56.44	2779	53	525	57	1	44
343.txt	96.77	94.15	99.55	92.31	94.74	90.00	2203	137	10	18	1	2
344.txt	97.32	99.63	95.12	92.54	100.00	86.11	800	3	41	31	0	5
345.txt	98.29	98.89	97.69	82.86	100.00	70.73	1521	17	36	29	0	12
346.txt	97.36	96.46	98.27	91.57	90.48	92.68	2673	98	47	38	4	3
347.txt	83.06	100.00	71.03	55.17	100.00	38.10	3835	0	1564	64	0	104
348.txt	95.08	100.00	90.61	94.74	100.00	90.00	280	0	29	9	0	1
349.txt	97.07	98.59	95.60	9.23	100.00	4.84	3215	46	148	6	0	118
350.txt	95.12	92.13	98.30	93.10	96.43	90.00	1101	94	19	27	1	3
351.txt	92.96	99.43	87.28	81.82	100.00	69.23	350	2	51	9	0	4
352.txt	28.80	95.42	16.96	8.60	100.00	4.49	292	14	1430	4	0	85
353.txt	94.39	94.66	94.13	96.00	96.00	96.00	2324	131	145	48	2	2
354.txt	99.96	100.00	99.91	98.82	100.00	97.67	3498	0	3	42	0	1
355.txt	99.25	100.00	98.51	92.86	100.00	86.67	727	0	11	13	0	2
356.txt	99.52	99.87	99.17	94.92	96.55	93.33	1560	2	13	28	1	2
357.txt	99.71	99.90	99.52	96.97	100.00	94.12	1043	1	5	16	0	1
358.txt	79.80	71.89	89.66	88.89	100.00	80.00	156	61	18	4	0	1
359.txt	86.99	83.60	90.66	73.75	66.29	83.10	5318	1043	548	118	60	24
360.txt	99.33	99.35	99.31	90.43	85.25	96.30	8299	54	58	156	27	6
361.txt	1.44	100.00	0.72	0.00	0.00	0.00	1	0	137	0	0	8
362.txt	89.93	99.87	81.80	63.64	100.00	46.67	746	1	166	21	0	24
363.txt	92.04	97.44	87.21	73.08	70.37	76.00	798	21	117	19	8	6
364.txt	92.66	99.71	86.53	63.16	85.71	50.00	347	1	54	6	1	6
365.txt	98.37	99.78	97.01	84.21	96.00	75.00	908	2	28	24	1	8
366.txt	0.28	100.00	0.14	0.00	0.00	0.00	1	0	713	0	0	120
367.txt	98.60	98.98	98.22	90.91	100.00	83.33	1656	17	30	10	0	2
368.txt	97.94	96.87	99.04	80.00	75.00	85.71	927	30	9	12	4	2
369.txt	0.37	100.00	0.18	0.00	0.00	0.00	1	0	543	0	0	38
370.txt	95.54	98.57	92.68	74.67	84.85	66.67	1102	16	87	28	5	14
371.txt	41.58	99.09	26.31	30.11	87.50	18.18	327	3	916	14	2	63
372.txt	99.07	100.00	98.16	92.11	100.00	85.37	1756	0	33	35	0	6
373.txt	97.72	99.94	95.58	86.58	100.00	76.34	8982	5	415	100	0	31
374.txt	88.45	99.53	79.59	76.47	100.00	61.90	1283	6	329	13	0	8
375.txt	0.98	100.00	0.49	0.00	0.00	0.00	1	0	203	0	0	26
376.txt	97.63	99.73	95.62	76.92	93.75	65.22	4102	11	188	45	3	24
377.txt	96.53	99.88	93.40	85.71	100.00	75.00	863	1	61	9	0	3
378.txt	92.45	99.56	86.28	78.08	95.00	66.28	2485	11	395	57	3	29
379.txt	98.61	99.44	97.80	93.62	95.65	91.67	533	3	12	22	1	2
380.txt	97.47	99.58	95.44	76.36	95.45	63.64	2638	11	126	21	1	12
381.txt	97.96	97.88	98.04	100.00	100.00	100.00	601	13	12	10	0	0
382.txt	98.68	100.00	97.39	93.55	100.00	87.88	1341	0	36	29	0	4
383.txt	92.54	99.60	86.41	76.47	100.00	61.90	248	1	39	13	0	8
384.txt	90.89	91.18	90.60	67.33	67.11	67.55	5043	488	523	102	50	49
385.txt	96.59	97.75	95.45	19.23	100.00	10.64	1825	42	87	5	0	42
386.txt	91.56	99.91	84.49	31.75	100.00	18.87	1117	1	205	10	0	43
387.txt	97.51	98.84	96.21	66.67	100.00	50.00	938	11	37	15	0	15
388.txt	92.72	99.91	86.50	55.56	100.00	38.46	3268	3	510	65	0	104
389.txt	95.49	100.00	91.36	55.56	100.00	38.46	1005	0	95	15	0	24
390.txt	99.23	100.00	98.47	87.18	100.00	77.27	2066	0	32	17	0	5
391.txt	99.73	99.84	99.62	95.74	97.83	93.75	1857	3	7	45	1	3
392.txt	94.08	96.08	92.16	79.17	100.00	65.52	1469	60	125	19	0	10
393.txt	98.83	99.36	98.29	97.30	100.00	94.74	1095	7	19	18	0	1
394.txt	95.71	98.42	93.15	81.69	100.00	69.05	5807	93	427	58	0	26
395.txt	93.24	94.79	91.73	54.79	90.91	39.22	1165	64	105	20	2	31
396.txt	97.63	99.68	95.66	93.40	99.33	88.13	20082	64	911	297	2	40
397.txt	98.58	99.30	97.87	94.74	100.00	90.00	1423	10	31	18	0	2
398.txt	81.27	98.90	68.97	69.66	100.00	53.45	3697	41	1663	93	0	81
399.txt	91.60	90.39	92.83	87.63	91.40	84.16	4234	450	327	85	8	16
400.txt	96.78	100.00	93.76	90.32	100.00	82.35	586	0	39	14	0	3
401.txt	99.55	99.82	99.29	93.88	95.83	92.00	1667	3	12	23	1	2
402.txt	99.00	98.92	99.07	93.46	94.34	92.59	5883	64	55	100	6	8
403.txt	96.30	98.81	93.91	90.40	100.00	82.47	2327	28	151	80	0	17
404.txt	88.68	98.20	80.84	59.06	100.00	41.90	4431	81	1050	44	0	61
405.txt	98.35	99.89	96.85	45.65	100.00	29.58	2829	3	92	21	0	50
406.txt	87.39	84.00	91.08	95.00	97.44	92.68	2378	453	233	38	1	3
407.txt	99.62	99.89	99.36	91.67	91.67	91.67	925	1	6	11	1	1
408.txt	96.56	100.00	93.36	95.24	100.00	90.91	1012	0	72	20	0	2
409.txt	62.53	73.81	54.24	46.31	77.78	32.97	1223	434	1032	91	26	185
410.txt	90.24	99.31	82.69	63.55	85.00	50.75	1003	7	210	34	6	33
411.txt	96.20	97.18	95.25	92.41	99.29	86.42	6538	190	326	140	1	22
412.txt	72.72	98.50	57.63	64.65	86.49	51.61	1186	18	872	32	5	30
413.txt	86.62	96.30	78.70	68.18	88.24	55.56	521	20	141	15	2	12
414.txt	94.14	98.98	89.76	89.43	93.31	85.87	5240	54	598	237	17	39
415.txt	99.28	99.79	98.77	100.00	100.00	100.00	482	1	6	7	0	0
416.txt	83.19	89.13	77.99	73.33	95.65	59.46	443	54	125	22	1	15
417.txt	99.47	99.93	99.01	99.29	100.00	98.59	4220	3	42	70	0	1
418.txt	92.43	90.95	93.96	97.89	100.00	95.87	12499	1243	803	348	0	15
419.txt	95.12	98.73	91.76	72.73	100.00	57.14	312	4	28	4	0	3
420.txt	98.02	99.96	96.16	94.25	100.00	89.13	2305	1	92	41	0	5
421.txt	99.57	99.48	99.66	90.91	83.33	100.00	579	3	2	5	1	0
422.txt	93.10	99.57	87.42	74.07	90.91	62.50	702	3	101	10	1	6
424.txt	99.20	99.96	98.45	92.31	100.00	85.71	2286	1	36	24	0	4
425.txt	97.13	99.70	94.69	93.40	99.50	88.00	13755	42	772	198	1	27
426.txt	93.90	97.17	90.84	92.13	95.35	89.13	2815	82	284	82	4	10
427.txt	99.13	98.84	99.42	83.33	71.43	100.00	340	4	2	5	2	0
428.txt	92.00	97.45	87.12	78.57	100.00	64.71	954	25	141	11	0	6
429.txt	98.98	99.26	98.69	98.18	100.00	96.43	2565	19	34	54	0	2
430.txt	36.72	99.78	22.50	24.07	100.00	13.68	453	1	1560	13	0	82
431.txt	89.15	92.67	85.89	64.55	100.00	47.66	6803	538	1118	112	0	123
433.txt	85.41	87.68	83.26	72.73	80.00	66.67	562	79	113	4	1	2
434.txt	99.11	99.91	98.31	91.67	100.00	84.62	1166	1	20	11	0	2
435.txt	99.03	99.91	98.17	90.91	100.00	83.33	1074	1	20	10	0	2
436.txt	87.44	78.01	99.48	88.89	80.00	100.00	571	161	3	8	2	0
437.txt	95.86	100.00	92.04	92.31	100.00	85.71	1272	0	110	30	0	5
438.txt	99.47	99.20	99.73	94.12	88.89	100.00	745	6	2	16	2	0
439.txt	70.99	92.29	57.67	35.36	94.12	21.77	1627	136	1194	32	2	115
440.txt	61.40	99.04	44.49	51.06	75.00	38.71	412	4	514	12	4	19
441.txt	96.98	100.00	94.14	82.35	100.00	70.00	305	0	19	7	0	3
442.txt	93.87	99.25	89.05	82.55	83.62	81.51	2651	20	326	97	19	22
443.txt	90.69	98.98	83.69	79.15	97.89	66.43	5232	54	1020	93	2	47
444.txt	54.97	38.18	98.13	66.67	50.00	100.00	105	170	2	4	4	0
445.txt	87.85	99.65	78.55	76.24	99.71	61.72	9593	34	2619	345	1	214
446.txt	91.01	94.16	88.07	50.00	83.33	35.71	709	44	96	5	1	9
447.txt	98.62	98.27	98.98	94.51	94.51	94.51	7064	124	73	86	5	5
448.txt	76.41	75.56	77.28	73.33	80.49	67.35	1354	438	398	33	8	16
449.txt	95.66	95.66	95.66	100.00	100.00	100.00	1455	66	66	15	0	0
450.txt	95.20	99.92	90.91	90.27	100.00	82.26	1240	1	124	51	0	11
451.txt	97.34	98.84	95.89	28.57	100.00	16.67	769	9	33	3	0	15
452.txt	99.29	100.00	98.58	96.70	100.00	93.62	2363	0	34	44	0	3
453.txt	94.67	98.04	91.53	89.22	89.22	89.22	10229	204	947	182	22	22
454.txt	89.40	99.09	81.44	72.54	100.00	56.91	3597	33	820	103	0	78
455.txt	98.39	97.72	99.07	88.61	92.11	85.37	3082	72	29	35	3	6
456.txt	74.26	68.89	80.54	51.55	48.08	55.56	1076	486	260	25	27	20
457.txt	93.53	89.61	97.81	90.32	84.85	96.55	2052	238	46	28	5	1
458.txt	0.21	100.00	0.11	0.00	0.00	0.00	1	0	951	0	0	64
459.txt	98.13	99.86	96.47	97.44	97.44	97.44	2102	3	77	38	1	1
460.txt	93.39	96.58	90.41	68.82	87.67	56.64	2431	86	258	64	9	49
461.txt	88.66	99.48	79.97	55.45	100.00	38.36	3246	17	813	56	0	90
462.txt	88.51	85.46	91.78	97.06	98.02	96.12	3898	663	349	99	2	4
463.txt	99.21	99.90	98.52	96.18	100.00	92.65	4196	4	63	63	0	5
464.txt	97.51	95.65	99.45	94.44	92.73	96.23	4000	182	22	51	4	2
465.txt	96.76	96.66	96.86	99.45	98.90	100.00	5611	194	182	90	1	0
466.txt	78.57	100.00	64.71	44.44	100.00	28.57	88	0	48	2	0	5
467.txt	98.54	99.62	97.49	87.43	97.56	79.21	8993	34	232	80	2	21
468.txt	66.98	76.03	59.85	24.81	88.89	14.41	939	296	630	16	2	95
469.txt	60.11	100.00	42.97	52.17	100.00	35.29	159	0	211	6	0	11
470.txt	83.00	99.53	71.17	68.27	98.61	52.21	1069	5	433	71	1	65
471.txt	2.30	100.00	1.16	0.00	0.00	0.00	1	0	85	0	0	8
472.txt	99.49	99.84	99.15	95.08	96.67	93.55	3740	6	32	58	2	4
473.txt	99.94	99.98	99.90	99.13	100.00	98.28	5844	1	6	57	0	1
474.txt	95.22	98.71	91.98	74.47	97.22	60.34	1685	22	147	35	1	23
475.txt	96.55	96.53	96.57	94.29	97.06	91.67	2896	104	103	33	1	3
476.txt	95.67	96.52	94.84	84.21	88.89	80.00	3048	110	166	40	5	10
477.txt	81.44	88.72	75.26	53.73	94.74	37.50	794	101	261	18	1	30
