file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
332.txt	98.93	100.00	97.88	0.00	0.00	0.00	1434	0	31	0	0	17
333.txt	85.25	76.28	96.59	0.00	0.00	0.00	312	97	11	0	0	9
334.txt	84.94	96.48	75.87	0.00	0.00	0.00	1754	64	558	0	0	109
335.txt	98.72	99.75	97.71	0.00	0.00	0.00	812	2	19	0	0	9
336.txt	47.52	100.00	31.17	0.00	0.00	0.00	163	0	360	0	0	38
337.txt	84.89	91.20	79.40	0.00	0.00	0.00	632	61	164	0	0	42
338.txt	93.07	96.31	90.04	0.00	0.00	0.00	470	18	52	0	0	15
339.txt	98.13	99.47	96.83	0.00	0.00	0.00	946	5	31	0	0	12
340.txt	95.81	93.91	97.77	0.00	0.00	0.00	571	37	13	0	0	5
341.txt	96.60	95.23	98.01	0.00	0.00	0.00	6255	313	127	0	0	30
342.txt	88.04	95.83	81.42	0.00	0.00	0.00	2690	117	614	0	0	101
343.txt	96.30	94.02	98.69	0.00	0.00	0.00	2184	139	29	0	0	20
344.txt	93.18	94.61	91.80	0.00	0.00	0.00	772	44	69	0	0	36
345.txt	97.52	98.94	96.15	0.00	0.00	0.00	1497	16	60	0	0	41
346.txt	96.98	96.64	97.32	0.00	0.00	0.00	2647	92	73	0	0	41
347.txt	81.07	98.78	68.75	0.00	0.00	0.00	3712	46	1687	0	0	168
348.txt	93.45	100.00	87.70	0.00	0.00	0.00	271	0	38	0	0	10
349.txt	96.77	98.37	95.21	0.00	0.00	0.00	3202	53	161	0	0	124
350.txt	94.01	92.12	95.98	0.00	0.00	0.00	1075	92	45	0	0	30
351.txt	91.67	99.42	85.04	0.00	0.00	0.00	341	2	60	0	0	13
352.txt	26.82	70.72	16.55	0.00	0.00	0.00	285	118	1437	0	0	89
353.txt	95.80	95.13	96.48	0.00	0.00	0.00	2382	122	87	0	0	50
354.txt	99.35	100.00	98.71	0.00	0.00	0.00	3456	0	45	0	0	43
355.txt	98.35	100.00	96.75	0.00	0.00	0.00	714	0	24	0	0	15
356.txt	98.17	99.28	97.08	0.00	0.00	0.00	1527	11	46	0	0	30
357.txt	98.61	99.42	97.81	0.00	0.00	0.00	1025	6	23	0	0	17
358.txt	79.43	67.47	96.55	0.00	0.00	0.00	168	81	6	0	0	5
359.txt	85.21	82.24	88.41	0.00	0.00	0.00	5186	1120	680	0	0	142
360.txt	98.49	99.60	97.40	0.00	0.00	0.00	8140	33	217	0	0	162
361.txt	2.86	100.00	1.45	0.00	0.00	0.00	2	0	136	0	0	8
362.txt	88.29	99.45	79.39	0.00	0.00	0.00	724	4	188	0	0	45
363.txt	90.88	97.74	84.92	0.00	0.00	0.00	777	18	138	0	0	25
364.txt	91.91	100.00	85.04	0.00	0.00	0.00	341	0	60	0	0	12
365.txt	97.09	99.89	94.44	0.00	0.00	0.00	884	1	52	0	0	32
366.txt	0.56	100.00	0.28	0.00	0.00	0.00	2	0	712	0	0	120
367.txt	96.92	96.64	97.21	0.00	0.00	0.00	1639	57	47	0	0	12
368.txt	97.66	97.35	97.97	0.00	0.00	0.00	917	25	19	0	0	14
369.txt	0.73	100.00	0.37	0.00	0.00	0.00	2	0	542	0	0	38
370.txt	94.46	98.99	90.33	0.00	0.00	0.00	1074	11	115	0	0	42
371.txt	40.05	99.05	25.10	0.00	0.00	0.00	312	3	931	0	0	77
372.txt	98.06	100.00	96.20	0.00	0.00	0.00	1721	0	68	0	0	41
373.txt	97.15	99.91	94.53	0.00	0.00	0.00	8883	8	514	0	0	131
374.txt	87.95	99.14	79.03	0.00	0.00	0.00	1274	11	338	0	0	21
375.txt	1.94	100.00	0.98	0.00	0.00	0.00	2	0	202	0	0	26
376.txt	96.87	99.46	94.41	0.00	0.00	0.00	4050	22	240	0	0	69
377.txt	95.18	98.61	91.99	0.00	0.00	0.00	850	12	74	0	0	12
378.txt	91.08	99.22	84.17	0.00	0.00	0.00	2424	19	456	0	0	86
379.txt	89.24	90.24	88.26	0.00	0.00	0.00	481	52	64	0	0	24
380.txt	96.89	99.20	94.68	0.00	0.00	0.00	2617	21	147	0	0	33
381.txt	97.19	98.66	95.76	0.00	0.00	0.00	587	8	26	0	0	10
382.txt	97.58	100.00	95.28	0.00	0.00	0.00	1312	0	65	0	0	33
383.txt	89.87	99.58	81.88	0.00	0.00	0.00	235	1	52	0	0	21
384.txt	90.01	91.31	88.75	0.00	0.00	0.00	4940	470	626	0	0	151
385.txt	96.45	97.74	95.19	0.00	0.00	0.00	1820	42	92	0	0	47
386.txt	90.16	98.48	83.13	0.00	0.00	0.00	1099	17	223	0	0	53
387.txt	97.37	99.78	95.08	0.00	0.00	0.00	927	2	48	0	0	30
388.txt	91.11	98.88	84.46	0.00	0.00	0.00	3191	36	587	0	0	169
389.txt	94.60	99.80	89.91	0.00	0.00	0.00	989	2	111	0	0	39
390.txt	98.53	99.71	97.38	0.00	0.00	0.00	2043	6	55	0	0	22
391.txt	98.34	99.56	97.16	0.00	0.00	0.00	1811	8	53	0	0	48
392.txt	93.43	96.03	90.97	0.00	0.00	0.00	1450	60	144	0	0	29
393.txt	97.42	98.09	96.77	0.00	0.00	0.00	1078	21	36	0	0	19
394.txt	94.95	97.89	92.19	0.00	0.00	0.00	5747	124	487	0	0	84
395.txt	91.12	93.46	88.90	0.00	0.00	0.00	1129	79	141	0	0	51
396.txt	96.46	99.07	93.99	0.00	0.00	0.00	19731	185	1262	0	0	337
397.txt	95.90	96.00	95.80	0.00	0.00	0.00	1393	58	61	0	0	20
398.txt	81.22	98.64	69.03	0.00	0.00	0.00	3700	51	1660	0	0	174
399.txt	90.68	90.27	91.10	0.00	0.00	0.00	4155	448	406	0	0	101
400.txt	95.57	100.00	91.52	0.00	0.00	0.00	572	0	53	0	0	17
401.txt	98.77	99.70	97.86	0.00	0.00	0.00	1643	5	36	0	0	25
402.txt	97.83	98.81	96.87	0.00	0.00	0.00	5752	69	186	0	0	108
403.txt	93.64	98.31	89.39	0.00	0.00	0.00	2215	38	263	0	0	97
404.txt	88.32	98.11	80.31	0.00	0.00	0.00	4402	85	1079	0	0	105
405.txt	0.14	100.00	0.07	0.00	0.00	0.00	2	0	2919	0	0	71
406.txt	86.42	83.15	89.97	0.00	0.00	0.00	2349	476	262	0	0	41
407.txt	99.08	100.00	98.17	0.00	0.00	0.00	914	0	17	0	0	12
408.txt	95.57	100.00	91.51	0.00	0.00	0.00	992	0	92	0	0	22
409.txt	60.45	74.19	51.00	0.00	0.00	0.00	1150	400	1105	0	0	276
410.txt	86.87	97.15	78.57	0.00	0.00	0.00	953	28	260	0	0	67
411.txt	95.46	97.22	93.76	0.00	0.00	0.00	6436	184	428	0	0	162
412.txt	68.68	92.51	54.62	0.00	0.00	0.00	1124	91	934	0	0	62
413.txt	85.38	96.21	76.74	0.00	0.00	0.00	508	20	154	0	0	27
414.txt	78.72	83.23	74.67	0.00	0.00	0.00	4359	878	1479	0	0	276
415.txt	98.24	99.37	97.13	0.00	0.00	0.00	474	3	14	0	0	7
416.txt	81.18	88.22	75.18	0.00	0.00	0.00	427	57	141	0	0	37
417.txt	96.76	97.25	96.27	0.00	0.00	0.00	4103	116	159	0	0	71
418.txt	91.13	90.82	91.44	0.00	0.00	0.00	12164	1230	1138	0	0	363
419.txt	95.40	99.68	91.47	0.00	0.00	0.00	311	1	29	0	0	7
420.txt	95.90	99.86	92.24	0.00	0.00	0.00	2211	3	186	0	0	46
421.txt	99.22	99.65	98.80	0.00	0.00	0.00	574	2	7	0	0	5
422.txt	92.45	99.71	86.18	0.00	0.00	0.00	692	2	111	0	0	16
424.txt	98.67	99.96	97.42	0.00	0.00	0.00	2262	1	60	0	0	28
425.txt	96.71	99.17	94.38	0.00	0.00	0.00	13710	115	817	0	0	225
426.txt	92.78	93.54	92.03	0.00	0.00	0.00	2852	197	247	0	0	92
427.txt	98.67	99.41	97.95	0.00	0.00	0.00	335	2	7	0	0	5
428.txt	91.72	97.63	86.48	0.00	0.00	0.00	947	23	148	0	0	17
429.txt	97.84	99.09	96.61	0.00	0.00	0.00	2511	23	88	0	0	56
430.txt	35.79	99.77	21.81	0.00	0.00	0.00	439	1	1574	0	0	95
431.txt	90.20	91.85	88.61	0.00	0.00	0.00	7019	623	902	0	0	235
433.txt	84.91	87.44	82.52	0.00	0.00	0.00	557	80	118	0	0	6
434.txt	98.63	99.91	97.39	0.00	0.00	0.00	1155	1	31	0	0	13
435.txt	98.56	99.91	97.26	0.00	0.00	0.00	1064	1	30	0	0	12
436.txt	86.88	77.98	98.08	0.00	0.00	0.00	563	159	11	0	0	8
437.txt	94.66	100.00	89.87	0.00	0.00	0.00	1242	0	140	0	0	35
438.txt	98.51	99.45	97.59	0.00	0.00	0.00	729	4	18	0	0	16
439.txt	69.47	91.09	56.15	0.00	0.00	0.00	1584	155	1237	0	0	147
440.txt	59.35	97.53	42.66	0.00	0.00	0.00	395	10	531	0	0	31
441.txt	94.87	98.67	91.36	0.00	0.00	0.00	296	4	28	0	0	10
442.txt	91.48	99.80	84.45	0.00	0.00	0.00	2514	5	463	0	0	119
443.txt	89.08	98.15	81.54	0.00	0.00	0.00	5098	96	1154	0	0	140
444.txt	52.52	36.67	92.52	0.00	0.00	0.00	99	171	8	0	0	4
445.txt	86.08	99.64	75.76	0.00	0.00	0.00	9252	33	2960	0	0	559
446.txt	90.72	94.24	87.45	0.00	0.00	0.00	704	43	101	0	0	14
447.txt	97.78	97.96	97.60	0.00	0.00	0.00	6966	145	171	0	0	91
448.txt	74.10	73.89	74.32	0.00	0.00	0.00	1302	460	450	0	0	49
449.txt	95.21	95.68	94.74	0.00	0.00	0.00	1441	65	80	0	0	15
450.txt	92.64	98.84	87.17	0.00	0.00	0.00	1189	14	175	0	0	62
451.txt	97.15	98.84	95.51	0.00	0.00	0.00	766	9	36	0	0	18
452.txt	98.35	100.00	96.75	0.00	0.00	0.00	2319	0	78	0	0	47
453.txt	94.53	98.31	91.03	0.00	0.00	0.00	10173	175	1003	0	0	204
454.txt	88.00	99.01	79.19	0.00	0.00	0.00	3498	35	919	0	0	181
455.txt	98.06	97.82	98.30	0.00	0.00	0.00	3058	68	53	0	0	41
456.txt	77.23	70.48	85.40	0.00	0.00	0.00	1141	478	195	0	0	45
457.txt	92.91	89.60	96.47	0.00	0.00	0.00	2024	235	74	0	0	29
458.txt	0.21	50.00	0.11	0.00	0.00	0.00	1	1	951	0	0	64
459.txt	97.27	99.95	94.72	0.00	0.00	0.00	2064	1	115	0	0	39
460.txt	93.92	97.94	90.22	0.00	0.00	0.00	2426	51	263	0	0	113
461.txt	88.13	99.72	78.96	0.00	0.00	0.00	3205	9	854	0	0	146
462.txt	86.99	84.81	89.29	0.00	0.00	0.00	3792	679	455	0	0	103
463.txt	98.08	99.44	96.76	0.00	0.00	0.00	4121	23	138	0	0	68
464.txt	95.42	93.53	97.39	0.00	0.00	0.00	3917	271	105	0	0	53
465.txt	95.82	96.43	95.22	0.00	0.00	0.00	5516	204	277	0	0	90
466.txt	77.48	100.00	63.24	0.00	0.00	0.00	86	0	50	0	0	7
467.txt	92.90	92.65	93.16	0.00	0.00	0.00	8594	682	631	0	0	101
468.txt	65.45	74.67	58.25	0.00	0.00	0.00	914	310	655	0	0	111
469.txt	54.41	93.42	38.38	0.00	0.00	0.00	142	10	228	0	0	17
470.txt	73.52	99.43	58.32	0.00	0.00	0.00	876	5	626	0	0	136
471.txt	4.55	100.00	2.33	0.00	0.00	0.00	2	0	84	0	0	8
472.txt	98.23	99.35	97.14	0.00	0.00	0.00	3664	24	108	0	0	62
473.txt	99.47	100.00	98.94	0.00	0.00	0.00	5788	0	62	0	0	58
474.txt	94.01	98.45	89.96	0.00	0.00	0.00	1648	26	184	0	0	58
475.txt	95.83	96.30	95.37	0.00	0.00	0.00	2860	110	139	0	0	36
476.txt	94.98	96.11	93.87	0.00	0.00	0.00	3017	122	197	0	0	50
477.txt	81.17	88.75	74.79	0.00	0.00	0.00	789	100	266	0	0	48
478.txt	97.85	99.62	96.14	0.00	0.00	0.00	1321	5	53	0	0	22
479.txt	79.89	99.76	66.62	0.00	0.00	0.00	2080	5	1042	0	0	178
480.txt	93.82	95.93	91.79	0.00	0.00	0.00	1745	74	156	0	0	34
481.txt	97.65	100.00	95.41	0.00	0.00	0.00	2370	0	114	0	0	35
482.txt	95.19	94.89	95.50	0.00	0.00	0.00	1930	104	91	0	0	28
483.txt	83.74	82.59	84.92	0.00	0.00	0.00	1025	216	182	0	0	44
484.txt	96.27	97.56	95.02	0.00	0.00	0.00	801	20	42	0	0	16
485.txt	98.09	99.77	96.46	0.00	0.00	0.00	2561	6	94	0	0	60
486.txt	97.11	98.05	96.20	0.00	0.00	0.00	3618	72	143	0	0	69
487.txt	84.79	99.54	73.85	0.00	0.00	0.00	864	4	306	0	0	41
488.txt	0.33	50.00	0.17	0.00	0.00	0.00	1	1	599	0	0	146
489.txt	98.59	99.59	97.61	0.00	0.00	0.00	1715	7	42	0	0	37
490.txt	77.69	94.00	66.20	0.00	0.00	0.00	47	3	24	0	0	3
491.txt	88.75	99.34	80.20	0.00	0.00	0.00	1807	12	446	0	0	100
492.txt	97.81	98.20	97.43	0.00	0.00	0.00	872	16	23	0	0	12
493.txt	94.29	98.39	90.52	0.00	0.00	0.00	3917	64	410	0	0	99
494.txt	97.43	99.89	95.09	0.00	0.00	0.00	1822	2	94	0	0	63
